=== Worker started ===
[02:01:28] Step 1 OK: Logging works.
[02:01:28] Step 2: Importing requests...
[02:01:28] Step 2 OK: requests imported.
[02:01:28] Step 3: Importing glob...
[02:01:28] Step 3 OK: glob imported.
[02:01:28] Step 4: Checking paths...
[02:01:28]   STOP_FILE exists:      False
[02:02:21] Loop alive (iteration 480). Flag exists: False
[02:02:21] Loop alive (iteration 4740). Flag exists: False
[02:02:21] Loop alive (iteration 1140). Flag exists: False
[02:02:22] Loop alive (iteration 820). Flag exists: False
[02:02:23] Loop alive (iteration 500). Flag exists: False
[02:02:23] Loop alive (iteration 4760). Flag exists: False
[02:02:24] Loop alive (iteration 1160). Flag exists: False
[02:02:24] Loop alive (iteration 840). Flag exists: False
[02:02:25] Loop alive (iteration 520). Flag exists: False
[02:02:26] Loop alive (iteration 4780). Flag exists: False
[02:02:26] Loop alive (iteration 1180). Flag exists: False
[02:02:26] Loop alive (iteration 860). Flag exists: False
[02:02:27] Loop alive (iteration 540). Flag exists: False
[02:02:28] Loop alive (iteration 4800). Flag exists: False
[02:02:28] Loop alive (iteration 1200). Flag exists: False
[02:02:28] Loop alive (iteration 880). Flag exists: False
[02:02:30] Loop alive (iteration 560). Flag exists: False
[02:02:30] Loop alive (iteration 4820). Flag exists: False
[02:02:30] Loop alive (iteration 1220). Flag exists: False
[02:02:30] Loop alive (iteration 900). Flag exists: False
[02:02:32] Loop alive (iteration 580). Flag exists: False
[02:02:32] Loop alive (iteration 4840). Flag exists: False
[02:02:32] Loop alive (iteration 1240). Flag exists: False
[02:02:33] Loop alive (iteration 920). Flag exists: False
[02:02:34] Loop alive (iteration 600). Flag exists: False
[02:02:34] Loop alive (iteration 4860). Flag exists: False
[02:02:34] Loop alive (iteration 1260). Flag exists: False
[02:02:35] Loop alive (iteration 940). Flag exists: False
[02:02:36] Loop alive (iteration 620). Flag exists: False
[02:02:36] Loop alive (iteration 4880). Flag exists: False
[02:02:37] Loop alive (iteration 1280). Flag exists: False
[02:02:37] Loop alive (iteration 960). Flag exists: False
[02:02:38] Loop alive (iteration 640). Flag exists: False
[02:02:39] Loop alive (iteration 4900). Flag exists: False
[02:02:39] Loop alive (iteration 1300). Flag exists: False
[02:02:39] Loop alive (iteration 980). Flag exists: False
[02:02:41] Loop alive (iteration 660). Flag exists: False
[02:02:41] Loop alive (iteration 4920). Flag exists: False
[02:02:41] Loop alive (iteration 1320). Flag exists: False
